Date,Open,High,Low,Close,Volume,Adj Close
9/2/97,63.999992,71.874992,63.500008,68.0625,14818400,13.361587
8/1/97,69.999992,70.562492,61.3125,62.562508,18058000,12.234112
7/1/97,65.937508,74.625,65.499992,70.125,14017700,13.712958
6/2/97,60.999992,68.25,59.874992,65.000008,13181800,12.661067
5/1/97,110.625,118.000015,58.125,60.375,18133100,11.760181
4/1/97,98.749985,112.249985,97.125,111,17675600,10.810601
3/3/97,102,107.25,98.25,99.250015,17205100,9.666238
2/3/97,103.875,108.375,102,102.874985,16183300,9.968883
1/2/97,98.749985,107.875015,95.875015,103.5,20005200,10.029449
12/2/96,103.375015,104.875015,94.750015,98.875015,20288300,9.581275
11/1/96,97.000015,106.125,96.250015,103.999985,13891100,10.027141
10/1/96,91.000015,97.5,90.499985,96.75,11097500,9.328135
9/3/96,82.249985,91.999985,81.75,91.000015,14013800,8.773752
8/1/96,82.125,87,82.125,83.125015,10777600,7.974191
7/1/96,86.875015,87.874985,77.875015,82.249985,14266900,7.890249
6/3/96,82.5,88.125,81.874985,86.749985,15856700,8.277805
5/1/96,77.125015,85.624985,73.750015,82.750015,15341900,7.896123
4/1/96,78.499985,80.625,74.125015,77.25,14498100,7.371304
3/1/96,76.125,79.5,73.624985,77.875015,14325000,7.430943
2/1/96,76.375015,80.500015,75.375,75.499985,15559800,7.161203
1/2/96,71.374985,76.750015,69.499985,76.750015,14750200,7.27977
12/1/95,67.5,73.125,67.5,72,14872600,6.829229
11/1/95,63,68.125015,61.750019,67.125,11811200,6.326225
10/2/95,63.499981,65.25,60.874981,63.250019,11596800,5.961026
9/1/95,58.750019,64.624985,58.375019,63.75,13961600,6.008146
8/1/95,58.999981,59.500019,56.875019,58.875,9894000,5.513294
7/3/95,56.500019,60.499981,56.374981,58.999981,13555600,5.524997
6/1/95,57.874981,58.375019,55.5,56.374981,13665300,5.279181
5/1/95,55.999981,59.25,55.750019,58.000019,14636400,5.391593
4/3/95,54.375,56.875019,53.374981,55.999981,12058000,5.205673
3/1/95,54.124981,55.375019,52.000019,54,12355500,5.019758
2/1/95,51.625019,55.999981,50.749981,54.75,13405100,5.051366
1/3/95,50.749981,52.999981,49.875,51.499981,11795800,4.751511
12/1/94,46.125,51.874981,45.375,51,14595100,4.705382
11/1/94,48.75,49.875,45.375,46.000019,12418900,4.209616
10/3/94,48.375,51,46.624981,48.874981,15516800,4.472713
9/1/94,49.999981,51.375,48.124981,48.124981,11463000,4.404078
8/1/94,50.25,51.250019,46.5,49.750019,14902900,4.519171
7/1/94,47.25,50.625,46.249981,50.374981,11518800,4.575941
6/1/94,49.624981,50.374981,45,46.624981,15792600,4.2353
5/2/94,95.25,99.375,46.624981,49.750019,14706800,4.48483
4/4/94,96.999962,99.624962,93.999962,95.25,16718000,4.293265
3/1/94,105.500038,106.5,96.624962,99.999962,15281300,4.507363
2/1/94,107.499962,109.749962,104.625,105.375,12584900,4.717259
1/3/94,104.625,109.5,102.624962,107.750038,15506800,4.823581
12/1/93,98.750038,107.000038,97.749962,104.874962,14050500,4.694875
11/1/93,96.875038,99.75,92.750038,98.375038,12351100,4.374018
10/1/93,95.750038,98.874962,94.749962,96.999962,9660200,4.312879
9/1/93,98.25,98.750038,94.5,95.874962,11791400,4.262858
8/2/93,98.499962,100.250038,96,98.25,9995600,4.34059
7/1/93,95.750038,100.875,94.5,98.499962,13224200,4.351633
6/1/93,93,96.375,92.750038,95.750038,12670500,4.230144
5/3/93,90.624962,95.124962,88.749962,92.750038,13567700,4.070144
4/1/93,89.499962,96,88.250038,90.624962,14412300,3.976889
3/1/93,84.500038,90.999962,83.25,89.124962,13607800,3.911065
2/1/93,86.000038,87.75,80.874962,84.125038,15481900,3.664452
1/4/93,85.625038,87.249962,82.5,86.124962,13333200,3.751568
12/1/92,82.5,87.500038,81.375,85.5,12088300,3.724344
11/2/92,76.875,83.750038,76.875,83.25,13563700,3.598893
10/1/92,78.500038,78.500038,73.125,76.749962,11200200,3.317896
9/1/92,73.875,79.749962,73.5,78.249962,12728400,3.382741
8/3/92,76.374962,76.875,72.999962,74.000038,11325600,3.175312
7/1/92,78.125038,78.75,74.750038,76.5,11794300,3.282585
6/1/92,76.5,79.374962,74.750038,77.750038,11081800,3.336223
5/1/92,76.374962,79.625038,75.125038,76.374962,12472900,3.25362
4/1/92,75.500038,79.250038,72.75,76.625038,16580700,3.264274
3/2/92,78.624962,79.875,75.624962,75.75,12393700,3.226997
2/3/92,75,80.750038,74.874962,78.624962,15444900,3.326301
1/2/92,75.624962,80.750038,73.625038,75.249962,19899600,3.183519
12/2/91,63.999962,78.125038,62.000038,76.5,23141700,3.236403
11/1/91,69.500038,70.5,64.374962,64.749962,16360900,2.716394
10/1/91,69.75,72.500038,65.25,69,16771600,2.894692
9/3/91,74.874962,75.375,67.374962,69.375,16903900,2.910424
8/1/91,73.374962,75.624962,68.874962,74.874962,15539600,3.118108
7/1/91,74.499962,75.75,71.375038,73.250038,14893900,3.050439
6/3/91,77.000038,77.625,72.875038,74.000038,13921800,3.081673
5/1/91,71.000038,77.375038,69.624962,77.25,14554500,3.217015
4/1/91,69.624962,75.75,69.500038,70.749962,16549000,2.926684
3/1/91,67.374962,70.5,65.499962,69.624962,17692000,2.880146
2/1/91,63.75,71.000038,63.249962,68.000038,25960800,2.812929
1/2/91,57.125038,64.125,53.000038,63.999962,22886000,2.627997
12/3/90,54.75,58.5,54.375,57.375,16428200,2.35596
11/1/90,51.624962,56.25,51.249962,54.75,19360400,2.227229
10/1/90,54.500038,57.375,50.000038,51.999962,23330300,2.115357
9/4/90,61.374962,62.375038,50.25,54.500038,24891500,2.21706
8/1/90,71.499962,72.125038,57.75,62.000038,24380200,2.501037
7/2/90,69.375,75.500038,69.375,71.625,18479800,2.889301
6/1/90,69.624962,71.124962,68.25,69.249962,14206200,2.793494
5/1/90,64.250038,70.125,64.250038,68.874962,17860800,2.778367
4/2/90,63.875038,67.250038,63.624962,63.999962,15020200,2.564221
3/1/90,61.625038,65.25,61.125,64.250038,17489500,2.57424
2/1/90,62.25,63.75,60.125038,61.749962,17795000,2.474072
